rounds,walkers,tourney,date,DOW
60.0,14.0,0.0,2011-11-01,1
75.0,20.0,0.0,2011-11-02,2
14.0,0.0,0.0,2011-11-03,3
98.0,4.0,0.0,2011-11-04,4
102.0,15.0,0.0,2011-11-05,5
36.0,4.0,0.0,2011-11-06,6
0.0,0.0,0.0,2011-11-07,0
72.0,1.0,0.0,2011-11-08,1
82.0,10.0,0.0,2011-11-09,2
74.0,0.0,0.0,2011-11-10,3
82.0,7.0,24.0,2011-11-11,4
55.0,17.0,0.0,2011-11-12,5
90.0,16.0,0.0,2011-11-13,6
0.0,0.0,0.0,2011-11-14,0
59.0,3.0,0.0,2011-11-15,1
82.0,13.0,0.0,2011-11-16,2
37.0,1.0,3.0,2011-11-17,3
30.0,8.0,0.0,2011-11-18,4
41.0,21.0,0.0,2011-11-19,5
26.0,7.0,0.0,2011-11-20,6
0.0,0.0,0.0,2011-11-21,0
80.0,23.0,0.0,2011-11-22,1
124.0,10.0,2.0,2011-11-23,2
16.0,2.0,0.0,2011-11-24,3
114.0,19.0,0.0,2011-11-25,4
105.0,22.0,1.0,2011-11-26,5
96.0,34.0,0.0,2011-11-27,6
0.0,0.0,0.0,2011-11-28,0
48.0,20.0,0.0,2011-11-29,1
56.0,19.0,2.0,2011-11-30,2
16.0,0.0,0.0,2011-12-01,3
82.0,28.0,0.0,2011-12-02,4
50.0,11.0,1.0,2011-12-03,5
76.0,11.0,2.0,2011-12-04,6
0.0,0.0,0.0,2011-12-05,0
31.0,11.0,0.0,2011-12-06,1
64.0,15.0,0.0,2011-12-07,2
28.0,7.0,0.0,2011-12-08,3
68.0,25.0,0.0,2011-12-09,4
65.0,14.0,0.0,2011-12-10,5
51.0,16.0,0.0,2011-12-11,6
0.0,0.0,0.0,2011-12-12,0
42.0,1.0,0.0,2011-12-13,1
58.0,11.0,2.0,2011-12-14,2
28.0,1.0,0.0,2011-12-15,3
67.0,10.0,0.0,2011-12-16,4
84.0,16.0,3.0,2011-12-17,5
66.0,16.0,0.0,2011-12-18,6
0.0,0.0,0.0,2011-12-19,0
59.0,2.0,2.0,2011-12-20,1
69.0,28.0,0.0,2011-12-21,2
60.0,7.0,0.0,2011-12-22,3
123.0,20.0,0.0,2011-12-23,4
38.0,9.0,0.0,2011-12-24,5
0.0,0.0,0.0,2011-12-25,6
0.0,0.0,0.0,2011-12-26,0
83.0,17.0,1.0,2011-12-27,1
98.0,27.0,0.0,2011-12-28,2
98.0,14.0,4.0,2011-12-29,3
115.0,21.0,0.0,2011-12-30,4
82.0,11.0,1.0,2011-12-31,5
70.0,17.0,0.0,2012-01-01,6
52.0,14.0,0.0,2012-01-02,0
38.0,7.0,0.0,2012-01-03,1
75.0,13.0,0.0,2012-01-04,2
46.0,12.0,4.0,2012-01-05,3
103.0,47.0,1.0,2012-01-06,4
91.0,24.0,0.0,2012-01-07,5
98.0,32.0,0.0,2012-01-08,6
0.0,0.0,0.0,2012-01-09,0
47.0,16.0,0.0,2012-01-10,1
70.0,18.0,5.0,2012-01-11,2
66.0,11.0,0.0,2012-01-12,3
94.0,28.0,2.0,2012-01-13,4
55.0,12.0,2.0,2012-01-14,5
60.0,19.0,0.0,2012-01-15,6
0.0,0.0,0.0,2012-01-16,0
37.0,6.0,0.0,2012-01-17,1
46.0,13.0,0.0,2012-01-18,2
18.0,6.0,0.0,2012-01-19,3
7.0,3.0,0.0,2012-01-20,4
30.0,18.0,0.0,2012-01-21,5
18.0,8.0,0.0,2012-01-22,6
0.0,0.0,0.0,2012-01-23,0
26.0,8.0,0.0,2012-01-24,1
55.0,15.0,0.0,2012-01-25,2
52.0,16.0,0.0,2012-01-26,3
82.0,19.0,0.0,2012-01-27,4
126.0,55.0,1.0,2012-01-28,5
135.0,37.0,0.0,2012-01-29,6
0.0,0.0,0.0,2012-01-30,0
40.0,22.0,2.0,2012-01-31,1
61.0,12.0,0.0,2012-02-01,2
71.0,5.0,5.0,2012-02-02,3
98.0,25.0,2.0,2012-02-03,4
118.0,44.0,1.0,2012-02-04,5
104.0,28.0,0.0,2012-02-05,6
0.0,0.0,0.0,2012-02-06,0
16.0,2.0,12.0,2012-02-07,1
52.0,12.0,12.0,2012-02-08,2
90.0,20.0,14.0,2012-02-09,3
92.0,21.0,2.0,2012-02-10,4
70.0,22.0,2.0,2012-02-11,5
100.0,21.0,2.0,2012-02-12,6
0.0,0.0,0.0,2012-02-13,0
69.0,10.0,20.0,2012-02-14,1
54.0,20.0,1.0,2012-02-15,2
91.0,43.0,0.0,2012-02-16,3
117.0,34.0,0.0,2012-02-17,4
90.0,28.0,2.0,2012-02-18,5
105.0,21.0,0.0,2012-02-19,6
82.0,17.0,0.0,2012-02-20,0
54.0,0.0,15.0,2012-02-21,1
99.0,18.0,12.0,2012-02-22,2
120.0,17.0,20.0,2012-02-23,3
124.0,28.0,0.0,2012-02-24,4
79.0,29.0,1.0,2012-02-25,5
123.0,37.0,0.0,2012-02-26,6
0.0,0.0,0.0,2012-02-27,0
79.0,3.0,26.0,2012-02-28,1
18.0,5.0,0.0,2012-02-29,2
25.0,1.0,24.0,2012-03-01,3
104.0,28.0,1.0,2012-03-02,4
140.0,27.0,1.0,2012-03-03,5
154.0,45.0,0.0,2012-03-04,6
0.0,0.0,0.0,2012-03-05,0
61.0,2.0,20.0,2012-03-06,1
56.0,15.0,0.0,2012-03-07,2
73.0,22.0,20.0,2012-03-08,3
122.0,32.0,0.0,2012-03-09,4
104.0,35.0,1.0,2012-03-10,5
114.0,16.0,0.0,2012-03-11,6
125.0,0.0,125.0,2012-03-12,0
-1.0,0.0,0.0,2012-03-13,1
3.0,2.0,0.0,2012-03-14,2
7.0,7.0,0.0,2012-03-15,3
4.0,3.0,0.0,2012-03-16,4
27.0,16.0,0.0,2012-03-17,5
37.0,11.0,0.0,2012-03-18,6
0.0,0.0,0.0,2012-03-19,0
30.0,2.0,0.0,2012-03-20,1
89.0,18.0,16.0,2012-03-21,2
68.0,10.0,16.0,2012-03-22,3
116.0,28.0,0.0,2012-03-23,4
30.0,18.0,0.0,2012-03-24,5
60.0,15.0,0.0,2012-03-25,6
0.0,0.0,0.0,2012-03-26,0
3.0,0.0,0.0,2012-03-27,1
29.0,12.0,0.0,2012-03-28,2
60.0,13.0,6.0,2012-03-29,3
108.0,33.0,0.0,2012-03-30,4
17.0,13.0,0.0,2012-03-31,5
129.0,40.0,0.0,2012-04-01,6
0.0,0.0,0.0,2012-04-02,0
59.0,28.0,0.0,2012-04-03,1
72.0,27.0,0.0,2012-04-04,2
95.0,16.0,12.0,2012-04-05,3
119.0,41.0,1.0,2012-04-06,4
151.0,53.0,0.0,2012-04-07,5
48.0,15.0,0.0,2012-04-08,6
0.0,0.0,0.0,2012-04-09,0
7.0,3.0,0.0,2012-04-10,1
34.0,9.0,0.0,2012-04-11,2
20.0,10.0,0.0,2012-04-12,3
31.0,7.0,0.0,2012-04-13,4
140.0,50.0,0.0,2012-04-14,5
182.0,59.0,0.0,2012-04-15,6
88.0,0.0,88.0,2012-04-16,0
67.0,23.0,0.0,2012-04-17,1
74.0,13.0,0.0,2012-04-18,2
108.0,42.0,0.0,2012-04-19,3
145.0,42.0,0.0,2012-04-20,4
171.0,19.0,116.0,2012-04-21,5
147.0,6.0,112.0,2012-04-22,6
0.0,0.0,0.0,2012-04-23,0
63.0,12.0,0.0,2012-04-24,1
53.0,7.0,0.0,2012-04-25,2
74.0,25.0,0.0,2012-04-26,3
115.0,36.0,0.0,2012-04-27,4
138.0,35.0,0.0,2012-04-28,5
164.0,58.0,0.0,2012-04-29,6
103.0,0.0,103.0,2012-04-30,0
81.0,22.0,0.0,2012-05-01,1
53.0,13.0,0.0,2012-05-02,2
70.0,17.0,2.0,2012-05-03,3
144.0,41.0,0.0,2012-05-04,4
141.0,61.0,0.0,2012-05-05,5
159.0,29.0,0.0,2012-05-06,6
132.0,0.0,0.0,2012-05-07,0
151.0,0.0,0.0,2012-05-08,1
79.0,19.0,0.0,2012-05-09,2
109.0,29.0,0.0,2012-05-10,3
116.0,30.0,0.0,2012-05-11,4
144.0,40.0,3.0,2012-05-12,5
81.0,27.0,0.0,2012-05-13,6
140.0,0.0,140.0,2012-05-14,0
100.0,29.0,0.0,2012-05-15,1
68.0,13.0,0.0,2012-05-16,2
71.0,31.0,0.0,2012-05-17,3
