,DOW,date,rounds,tourney,walkers,temp_high,temp_avg,temp_low,dew_high,dew_avg,dew_low,hum_high,hum_avg,hum_low,sea_high,sea_avg,sea_low,vis_high,vis_avg,vis_low,wind_high,wind_avg,wind_low,prec
0,1,2011-11-01,60.0,0.0,14.0,73,62,51,47,22,5,77,43,8,30.1,30.04,30.0,10,10,10,30,12,40.0,0.00
1,2,2011-11-02,75.0,0.0,20.0,75,62,48,29,18,7,46,29,11,30.14,30.06,30.0,10,10,10,16,6,21.0,0.00
2,3,2011-11-03,14.0,0.0,0.0,65,53,40,47,40,28,86,65,44,30.0,29.88,29.82,10,10,8,25,9,29.0,0.05
3,4,2011-11-04,98.0,0.0,4.0,59,49,39,44,40,33,93,67,40,29.93,29.87,29.82,10,9,4,15,4,20.0,0.16
4,5,2011-11-05,102.0,0.0,15.0,56,46,36,47,41,35,92,74,55,30.03,29.95,29.88,10,10,5,15,5,22.0,0.19
5,6,2011-11-06,36.0,0.0,4.0,59,51,42,46,44,38,100,74,47,30.12,30.0,29.91,10,10,4,13,3,16.0,0.00
6,0,2011-11-07,0.0,0.0,0.0,62,50,37,44,40,37,100,71,42,30.27,30.22,30.14,10,10,2,14,2,16.0,0.00
7,1,2011-11-08,72.0,0.0,1.0,61,48,34,43,38,34,92,67,42,30.33,30.29,30.25,10,10,9,15,4,18.0,0.00
8,2,2011-11-09,82.0,0.0,10.0,62,49,36,43,39,34,92,72,51,30.29,30.23,30.15,10,7,2,15,5,20.0,0.00
9,3,2011-11-10,74.0,0.0,0.0,66,51,35,43,39,33,92,66,40,30.17,30.06,29.91,8,6,5,13,4,16.0,0.00
10,4,2011-11-11,82.0,24.0,7.0,59,50,41,49,44,37,93,73,53,29.88,29.79,29.74,10,9,6,17,4,25.0,0.02
11,5,2011-11-12,55.0,0.0,17.0,62,54,45,50,48,42,93,77,60,29.98,29.87,29.81,10,7,2,9,3,13.0,T
12,6,2011-11-13,90.0,0.0,16.0,68,56,43,49,46,41,96,72,48,30.01,29.97,29.93,10,9,6,12,2,16.0,0.00
13,0,2011-11-14,0.0,0.0,0.0,65,55,44,48,46,41,93,73,52,30.08,30.01,29.97,10,9,5,14,4,16.0,0.00
14,1,2011-11-15,59.0,0.0,3.0,69,54,39,46,42,38,96,67,37,30.17,30.13,30.09,10,9,5,7,1,9.0,0.00
15,2,2011-11-16,82.0,0.0,13.0,71,55,38,46,41,37,86,59,31,30.24,30.19,30.15,10,10,10,10,2,12.0,0.00
16,3,2011-11-17,37.0,3.0,1.0,62,53,43,54,48,41,100,82,64,30.21,30.14,30.06,10,6,0,15,6,17.0,0.00
