year_month,guest_rounds,family_guest,club_cars
2011-11-01,184.0,78.0,743.0
2011-12-01,273.0,50.0,671.0
2012-01-01,151.0,35.0,535.0
2012-02-01,195.0,40.0,678.0
2012-03-01,144.0,23.0,512.0
2012-04-01,301.0,50.0,1150.0
2012-05-01,359.0,50.0,1505.0
2012-06-01,294.0,43.0,1975.0
2012-08-01,348.0,40.0,1719.0
2012-09-01,279.0,35.0,1368.0
2012-10-01,230.0,30.0,1016.0
2012-11-01,263.0,80.0,911.0
2012-12-01,174.0,26.0,313.0
2013-01-01,119.0,17.0,417.0
2013-02-01,198.0,26.0,612.0
2013-03-01,283.0,30.0,971.0
2013-04-01,305.0,24.0,1414.0
2013-05-01,447.0,31.0,1695.0
2013-06-01,274.0,40.0,2377.0
2013-07-01,323.0,31.0,1970.0
2013-08-01,415.0,29.0,2331.0
2013-09-01,284.0,22.0,1810.0
2013-10-01,287.0,27.0,1267.0
2013-11-01,363.0,45.0,949.0
2013-12-01,252.0,36.0,515.0
2014-01-01,156.0,30.0,501.0
2014-02-01,147.0,15.0,480.0
2014-03-01,243.0,37.0,940.0
2014-04-01,225.0,20.0,1226.0
2014-05-01,363.0,37.0,1312.0
2014-06-01,286.0,38.0,2481.0
2014-07-01,310.0,32.0,1785.0
2014-08-01,326.0,37.0,2439.0
2014-09-01,282.0,14.0,1490.0
2014-10-01,202.0,40.0,1135.0
2014-11-01,261.0,34.0,686.0
2014-12-01,170.0,24.0,300.0
2015-02-01,197.0,14.0,668.0
2015-03-01,315.0,29.0,1119.0
2015-04-01,248.0,18.0,1447.0
2015-05-01,352.0,22.0,1578.0
2015-06-01,285.0,31.0,2122.0
2015-07-01,337.0,19.0,1717.0
2015-08-01,337.0,22.0,1560.0
2015-09-01,176.0,12.0,1949.0
2015-10-01,328.0,32.0,1276.0
2015-11-01,244.0,47.0,792.0
2015-12-01,214.0,24.0,363.0
2016-01-01,95.0,10.0,267.0
2016-02-01,258.0,28.0,742.0
2016-03-01,167.0,20.0,746.0
2016-04-01,275.0,27.0,1364.0
2016-05-01,259.0,34.0,1634.0
2016-06-01,305.0,24.0,2037.0
2016-07-01,291.0,31.0,1616.0
2016-08-01,327.0,29.0,1592.0
2016-09-01,214.0,22.0,1212.0
2016-10-01,175.0,17.0,975.0
2016-11-01,245.0,26.0,706.0
2016-12-01,190.0,37.0,449.0
2017-01-01,79.0,6.0,202.0
2017-02-01,151.0,6.0,186.0
2017-03-01,195.0,23.0,729.0
2017-04-01,283.0,36.0,893.0
2017-05-01,315.0,28.0,1526.0
2017-06-01,263.0,32.0,1704.0
2017-07-01,343.0,49.0,1662.0
2017-08-01,368.0,40.0,1309.0
