Day,Notes
2011-11-01,Breezy day
2011-11-02,Perfect
2011-11-03,Rainy Afternoon
2011-11-04,Cold and Sunny - Titleist Fitting Van 
2011-11-05,3 club tourney
2011-11-06,Cold Sunny Day
2011-11-07,
2011-11-08,
2011-11-09,Nice Day
2011-11-10,
2011-11-11,
2011-11-12,
2011-11-13,Couples Turkey Shoot 
2011-11-14,
2011-11-15,Nice Tuesday
2011-11-16,
2011-11-17,Nice morning Cool Afternoon
2011-11-18,
2011-11-19,
2011-11-20,Rainy day
2011-11-21,
2011-11-22,Warm
2011-11-23,Men In Black
2011-11-24,Thanksgiving
2011-11-25,Busy day after Thanksgiving
2011-11-26,
2011-11-27,
2011-11-28,
2011-11-29,Nice Day
2011-11-30,Windy
2011-12-01,
2011-12-02,Holiday Sale
2011-12-03,Windy
2011-12-04,Windy
2011-12-05,
2011-12-06,Frost Delay
2011-12-07,Frost Delay
2011-12-08,Frost Delay
2011-12-09,Employee Sale
2011-12-10,Frost Delay
2011-12-11,Warmer
2011-12-12,
2011-12-13,Frost Delay
2011-12-14,
2011-12-15,Warmer
2011-12-16,
2011-12-17,Fog
2011-12-18,Frost Delay
2011-12-19,
2011-12-20,
2011-12-21,Frost Delay
2011-12-22,Warmer
2011-12-23,"Busy, Frost Delay"
2011-12-24,
2011-12-25,
2011-12-26,
2011-12-27,
2011-12-28,
2011-12-29,Dwyer Outing
2011-12-30,
2011-12-31,
2012-01-01,
2012-01-02,
2012-01-03,
2012-01-04,
2012-01-05,
2012-01-06,
2012-01-07,
2012-01-08,
2012-01-09,
2012-01-10,Frost Delay
2012-01-11,Frost Delay
2012-01-12,Frost Delay
2012-01-13,Frost Delay
2012-01-14,Frost Delay until 9:30am.
2012-01-15,
2012-01-16,
2012-01-17,Frost Delay
2012-01-18,Frost Delay
2012-01-19,"Frost Delay, Rain Showers"
2012-01-20,Heavy Rain
2012-01-21,"rain on and off, cart path only (no handicap flags allowed)."
2012-01-22,"rain on and off, cart path only (no handicap flags allowed)."
2012-01-23,
2012-01-24,
2012-01-25,
2012-01-26,
2012-01-27,
2012-01-28,beautiful day - 70 degrees.
2012-01-29,
2012-01-30,
2012-01-31,
2012-02-01,
2012-02-02,DWGG Shotgun
2012-02-03,
2012-02-04,
2012-02-05,
2012-02-06,
2012-02-07,Rain all day
2012-02-08,"foggy, then nice day.  First day of RBZ demo / inventory"
2012-02-09,
2012-02-10,Cloudy afternoon
2012-02-11,
2012-02-12,
2012-02-13,
2012-02-14,
2012-02-15,
2012-02-16,
2012-02-17,perfect day
2012-02-18,ridiculously busy day - everyone needs something all day long
2012-02-19,
2012-02-20,President's Day open - complaints about NO FOOD SERVICE today.  Employees ate at snack shack today.
2012-02-21,
2012-02-22,Perfect Day
2012-02-23,Ladies Rules Clinic.
2012-02-24,Perfect Day
2012-02-25,"nice day, 15 in stix game, launch monitor now here."
2012-02-26,Perfect Day
2012-02-27,
2012-02-28,Cool Day
2012-02-29,Rainy
2012-03-01,Rained until 230
2012-03-02,Nice Day
2012-03-03,Warm
2012-03-04,
2012-03-05,
2012-03-06,Windy
2012-03-07,windy
2012-03-08,
2012-03-09,Warm
2012-03-10,"Warm, slight wind n afternoon"
2012-03-11,Light Rain
2012-03-12,De La Salle High Tourney
2012-03-13,Rainy all day
2012-03-14,rainy all day
2012-03-15,Rainy all day
2012-03-16,Rainy all day
2012-03-17,"Cold, Rainy"
2012-03-18,"Cold, windy"
2012-03-19,
2012-03-20,
2012-03-21,
2012-03-22,Nice
2012-03-23,Busy and sunny
2012-03-24,Rainy and cold; junior team
2012-03-25,Rainy and cold
2012-03-26,
2012-03-27,Rainy and cold
2012-03-28,Slow and wet
2012-03-29,DGAF
2012-03-30,"Warm, busy"
2012-03-31,Rain
2012-04-01,
2012-04-02,
2012-04-03,
2012-04-04,
2012-04-05,
2012-04-06,
2012-04-07,Sunny
2012-04-08,Easter and Masters Sunday
2012-04-09,
2012-04-10,
2012-04-11,
2012-04-12,
2012-04-13,Busy
2012-04-14,Sunny and busy
2012-04-15,Warm and Busy
2012-04-16,
2012-04-17,Sunny
2012-04-18,Perfect
2012-04-19,Perfect
2012-04-20,MPS Welcome Party
2012-04-21,MPS Four Man and Horserace
2012-04-22,MPS Four Man 
2012-04-23,
2012-04-24,overcast
2012-04-25,overcast
2012-04-26,overcast
2012-04-27,warm
2012-04-28,warm and jr golf team
2012-04-29,warm and busy
2012-04-30,Cardolet
2012-05-01,"Perfect, Holyniner play with pro"
2012-05-02,Cold
2012-05-03,
2012-05-04,Perfect
2012-05-05,
2012-05-06,Scotch Club Practice Round
2012-05-07,Scotch Club Day 1
2012-05-08,Scotch Club Day2 and Shootout
2012-05-09,
2012-05-10,Spring Handicap Qualifier
2012-05-11,
2012-05-12,Twilight Golf
2012-05-13,Mothers Day
2012-05-14,
2012-05-15,
2012-05-16,
2012-05-17,Spring Handicap Round 1
2012-05-18,Spring Handicap Round 2
2012-05-19,Orange Ball Tournament
2012-05-20,DCC Charity Tournament
2012-05-21,CEID on Deafness Community Event
2012-05-22,
2012-05-23,
2012-05-24,
2012-05-25,Rainy
2012-05-26,MPS Presidents Cup Round 1
2012-05-27,MPS Presidents Cup Round 2
2012-05-28,Nice
2012-05-29,Closed - Memorial Day
2012-05-30,Sunny
2012-05-31,DWGG Member/Member
2012-06-01,Holysmoker
2012-06-02,Bandit Shootout Rd 1
2012-06-03,Bandit Shootout Rd 2
2012-06-04,"The Morris - 6720 guest fees, 1260 cart fees"
2012-06-05,
2012-06-06,Sunny
2012-06-07,Sunny
2012-06-08,"sunny - $43,001 sales for Brasada Ranch NOT INCLUDED in figures here."
2012-06-09,MPS Member Member Round 1
2012-06-10,MPS Member Member Round 1
2012-06-11,"Fallen Heroes ($100 GC) - 5520 guest fees, 3560 cart fees"
2012-06-12,
2012-06-13,
2012-06-14,DWGG Mini Invitational
2012-06-15,
2012-06-16,NCGA Match vs Claremont
2012-06-17,
2012-06-18,"DBIA and Kids Sports Camp - 11988 guest fees, 4064 cart fees"
2012-06-19,Kids Camp
2012-06-20,Kids Camp
2012-06-21,Sr Invitational Round 1
2012-06-22,Sr Invitational Round 2
2012-06-23,Busy
2012-06-24,Busy
2012-06-25,"Cushman Wake Outing - perfect weather - 6344 guest fees, 1872 cart fees"
2012-06-26,Corena Green; Marx Group
2012-06-27,Slow Wednesday
2012-06-28,Play Day
2012-06-29,
2012-06-30,Jr golf team
2012-08-01,
2012-08-02,DWGG Captains Rd. 2
2012-08-03,
2012-08-04,$150 Gift Cert; NCGA Matches and JR Club Championship
2012-08-05,Jr Club Championship Round 2
2012-08-06,DentPro Outing - Mitch Buich
2012-08-07,
2012-08-08,
2012-08-09,
2012-08-10,Hot
2012-08-11,NCGA Match
2012-08-12,Sweeps
2012-08-13,
2012-08-14,Niner Play Day
2012-08-15,Sr Interclub
2012-08-16,Past Presidents
2012-08-17,Nakashima Fitting Day
2012-08-18,Directors Cup Round 1
2012-08-19,Directors Cup Round 2
2012-08-20,St. Mary's Community Event
2012-08-21,
2012-08-22,
2012-08-23,
2012-08-24,
2012-08-25,TM Demo Day
