[22.517470092548344, 'leaf_size', 8, 100, 8, ' boot', False, ' mf', 0.6, [('DOW', 0.25467386897003652), ('temp_high', 0.2033620526965326), ('temp_high_sqrt', 0.18438486784640681), ('prec', 0.097098474091662348), ('DOY', 0.089514058237073119), ('month', 0.037922607859658501), ('rain', 0.033879475820409427), ('year', 0.018982629830852072), ('hum_avg', 0.017583505960740379), ('vis_low', 0.017079908020163872), ('sea_avg', 0.011299988369365615), ('temp_low_sqrt', 0.009916832063089142), ('temp_low', 0.0092221463343654161), ('wind_avg', 0.007625989250811308), ('dew_avg', 0.0061216381344927906), ('rain_db4', 0.0013319565143402165)]]

[22.6857017765903, 'leaf_size', 12, 100, 8, ' boot', False, ' mf', 0.6, [('DOW', 0.26084600968853416), ('temp_high', 0.21436017820816425), ('temp_high_sqrt', 0.19520845030053266), ('prec', 0.093254087580697059), ('DOY', 0.088673048238043423), ('month', 0.032141292627227272), ('rain', 0.032111700829033661), ('year', 0.018948987136338469), ('vis_low', 0.016969777415620713), ('hum_avg', 0.014285935543473882), ('sea_avg', 0.010021103268485274), ('temp_low_sqrt', 0.0065274933430408411), ('temp_low', 0.0065206227844084004), ('dew_avg', 0.0056851068231956459), ('wind_avg', 0.0036432304562486269), ('rain_db4', 0.00080297575695561455)]]

[22.857971002905277, 'leaf_size', 10, 100, 8, ' boot', False, ' mf', 0.6, [('DOW', 0.25885064657344697), ('temp_high', 0.21419495672966804), ('temp_high_sqrt', 0.19277029373512114), ('prec', 0.090765281408529908), ('DOY', 0.083753277320073247), ('month', 0.031839046062694359), ('rain', 0.030909779774748503), ('year', 0.019317651222257121), ('hum_avg', 0.017121966392791232), ('vis_low', 0.012754681682267587), ('dew_avg', 0.011003653014327463), ('sea_avg', 0.0092961712241059931), ('wind_avg', 0.0091868449420129186), ('temp_low_sqrt', 0.0088331312708437373), ('temp_low', 0.0085380843533927782), ('rain_db4', 0.00086453429371893961)]]

[22.916173452354492, 'leaf_size', 12, 100, 8, ' boot', False, ' mf', 0.8, [('DOW', 0.25735867112058924), ('temp_high', 0.22436781274240933), ('temp_high_sqrt', 0.20098116829229029), ('prec', 0.10851151614354336), ('DOY', 0.10200341337707622), ('month', 0.026765803249588632), ('year', 0.019055596168421216), ('hum_avg', 0.01499880811069939), ('vis_low', 0.011707722142462001), ('rain', 0.010898718693058473), ('temp_low', 0.0064850147700333052), ('temp_low_sqrt', 0.0058388559996805003), ('dew_avg', 0.0036343642038515513), ('wind_avg', 0.0035634497999955665), ('sea_avg', 0.0033371865458646489), ('rain_db4', 0.00049189864043639353)]]

[23.08683511048714, 'leaf_size', 8, 100, 8, ' boot', False, ' mf', 0.8, [('DOW', 0.26149524488469378), ('temp_high', 0.21322067164217717), ('temp_high_sqrt', 0.19735699646121777), ('DOY', 0.11232934879471702), ('prec', 0.090052687555299327), ('year', 0.026418895357034219), ('month', 0.025921141997316034), ('hum_avg', 0.017826017348689303), ('rain', 0.012327995300029674), ('vis_low', 0.012258603435804052), ('sea_avg', 0.0087483979147839359), ('dew_avg', 0.0069813517612945268), ('temp_low', 0.0053018947246354234), ('temp_low_sqrt', 0.0049606573290245475), ('wind_avg', 0.0040166954294357047), ('rain_db4', 0.00078340006384766475)]]

[23.161953284158315, 'leaf_size', 10, 100, 8, ' boot', False, ' mf', 0.8, [('DOW', 0.24406773319444969), ('temp_high', 0.21528580613515655), ('temp_high_sqrt', 0.19669115137429449), ('prec', 0.11599240852167955), ('DOY', 0.10795309415036028), ('year', 0.022167932466636335), ('month', 0.02110653213573464), ('hum_avg', 0.019122804010103207), ('vis_low', 0.013438892810369547), ('rain', 0.011228614426787187), ('sea_avg', 0.0078509504754922157), ('dew_avg', 0.0075255391529463053), ('temp_low', 0.0063503226514388736), ('wind_avg', 0.0053008600447402585), ('temp_low_sqrt', 0.0051130608280132795), ('rain_db4', 0.0008042976217976529)]]

[24.222037561763624, 'leaf_size', 12, 100, 8, ' boot', False, ' mf', 1.0, [('DOW', 0.24901380162456754), ('temp_high', 0.23788620960374335), ('temp_high_sqrt', 0.22196404316440424), ('DOY', 0.12197238475613766), ('prec', 0.092098967751940264), ('vis_low', 0.020500876376781094), ('year', 0.019414637341620022), ('hum_avg', 0.017865857708553267), ('rain', 0.0061739067024485254), ('dew_avg', 0.0042918445515452595), ('sea_avg', 0.0037130308186548726), ('temp_low', 0.0019109480868342828), ('wind_avg', 0.0017518990963854035), ('temp_low_sqrt', 0.0014415924163837576), ('month', 0.0), ('rain_db4', 0.0)]]

[24.722922822910729, 'leaf_size', 10, 100, 8, ' boot', False, ' mf', 1.0, [('DOW', 0.25483901146278232), ('temp_high', 0.22037273283598841), ('temp_high_sqrt', 0.19719983737477464), ('DOY', 0.1262019010275641), ('prec', 0.10590605566622525), ('year', 0.02680052248629956), ('hum_avg', 0.015320058027032124), ('vis_low', 0.013106663789202562), ('month', 0.010126985862321233), ('wind_avg', 0.0085232227394745116), ('rain', 0.0075209084769111657), ('sea_avg', 0.0072297646899294266), ('temp_low_sqrt', 0.0027742029877319196), ('temp_low', 0.0026907161326667609), ('dew_avg', 0.0013874164410956479), ('rain_db4', 0.0)]]

[24.742363846305345, 'leaf_size', 8, 100, 8, ' boot', False, ' mf', 1.0, [('DOW', 0.25825420543823435), ('temp_high', 0.21500915184999234), ('temp_high_sqrt', 0.19196220565762875), ('DOY', 0.1250677085628408), ('prec', 0.10289112337363049), ('year', 0.027700501499516372), ('month', 0.015384411046577123), ('vis_low', 0.014799811886044383), ('hum_avg', 0.012976357710072996), ('sea_avg', 0.010020291270757627), ('wind_avg', 0.0093025338666518024), ('dew_avg', 0.0051567104291112041), ('rain', 0.0046429932060392479), ('temp_low_sqrt', 0.0025394394932215262), ('temp_low', 0.0024010496109264563), ('rain_db4', 0.0018915050987548803)]]

