[33.095764046780161, 150, None, False, 'RF', [('hum_low', 0.099358102420135916), ('sea_high', 0.097053210265310774), ('temp_high', 0.09595671369617563), ('sea_low', 0.09552313941960551), ('dew_high', 0.090465159487707447), ('temp_low', 0.089073184237587699), ('dew_low', 0.088663040215811964), ('wind_low', 0.08561400809982829), ('hum_high', 0.083913799895178595), ('wind_high', 0.083489473891060081), ('DOW', 0.065040064559505423), ('prec', 0.025850103812092622)]]

[33.512320186597563, 200, None, True, 'RF', [('sea_high', 0.098983624692011496), ('hum_low', 0.098032132933035102), ('temp_high', 0.097874146667404988), ('sea_low', 0.097126510742475899), ('temp_low', 0.091716753554944824), ('dew_low', 0.091052277460137526), ('dew_high', 0.089728432710696249), ('wind_low', 0.085962334000673837), ('hum_high', 0.083510774844048591), ('wind_high', 0.079660129047513933), ('DOW', 0.060436526268775027), ('prec', 0.025916357078282545)]]

[33.743768133539803, 300, None, True, 'RF', [('sea_low', 0.099696129112979939), ('hum_low', 0.099676362068079935), ('sea_high', 0.097935007983132732), ('temp_high', 0.097369762149872502), ('dew_high', 0.090739547370656065), ('dew_low', 0.090631537022316272), ('temp_low', 0.089742898205626739), ('wind_low', 0.085386363865698547), ('hum_high', 0.08205689340012931), ('wind_high', 0.079840397744638344), ('DOW', 0.059997673684540655), ('prec', 0.026927427392328934)]]

[33.810410233929829, 75, None, True, 'RF', [('sea_high', 0.10185899019170862), ('hum_low', 0.10008671960601002), ('temp_high', 0.097892883695944108), ('sea_low', 0.097143516969762242), ('dew_low', 0.092767993782731525), ('dew_high', 0.090878353797218842), ('temp_low', 0.090653198317447406), ('wind_low', 0.084891777775878238), ('hum_high', 0.079738756335523242), ('wind_high', 0.078489886723565244), ('DOW', 0.059628036459774665), ('prec', 0.025969886344435776)]]

[34.026552113921298, 150, None, True, 'RF', [('hum_low', 0.1001480673558245), ('sea_low', 0.099733536893153354), ('temp_high', 0.097322529415582698), ('sea_high', 0.096720797894442212), ('temp_low', 0.091066468087906277), ('dew_low', 0.090596682993445393), ('dew_high', 0.089942878715420504), ('wind_low', 0.085432043993427964), ('hum_high', 0.083956737643747836), ('wind_high', 0.079200610903371577), ('DOW', 0.060209669338368195), ('prec', 0.025669976765309702)]]

[34.369006185366416, 125, None, False, 'RF', [('sea_high', 0.09588980255089849), ('temp_high', 0.095640624080130868), ('hum_low', 0.095372768705446531), ('sea_low', 0.095175039825802915), ('dew_high', 0.090724362344825685), ('temp_low', 0.089618267131404847), ('dew_low', 0.088806421877387173), ('wind_low', 0.088336253233506273), ('wind_high', 0.083411289112705803), ('hum_high', 0.083102966472546447), ('DOW', 0.068144412444681224), ('prec', 0.025777792220663839)]]

[34.46022389289103, 125, None, True, 'RF', [('sea_high', 0.099651103726469625), ('sea_low', 0.09946098234482327), ('hum_low', 0.097691672067426169), ('temp_high', 0.096754646822956356), ('temp_low', 0.092213570274578244), ('dew_low', 0.090971964610943923), ('dew_high', 0.089386038659709316), ('wind_low', 0.086462015293072264), ('hum_high', 0.081391626298642245), ('wind_high', 0.078551482473902576), ('DOW', 0.060280808360907837), ('prec', 0.027184089066568211)]]

[34.522735402639277, 300, None, False, 'RF', [('hum_low', 0.098832743588609301), ('sea_high', 0.097585007971028731), ('sea_low', 0.096186196452890754), ('temp_high', 0.094989453210279434), ('dew_high', 0.090020149725254114), ('temp_low', 0.089984900335572077), ('dew_low', 0.08996599236444873), ('wind_low', 0.088112661250337537), ('hum_high', 0.082827029935138713), ('wind_high', 0.080638189598370699), ('DOW', 0.066327165748356218), ('prec', 0.024530509819713612)]]

[34.623983928399312, 400, None, True, 'RF', [('sea_high', 0.099031273086509636), ('hum_low', 0.098777346452958895), ('sea_low', 0.09869921519127231), ('temp_high', 0.096839842117213429), ('dew_low', 0.091881743157708862), ('dew_high', 0.090475824897875951), ('temp_low', 0.089499752170964744), ('wind_low', 0.086132382376616967), ('hum_high', 0.079850909240533466), ('wind_high', 0.07914582394476373), ('DOW', 0.061423570479834648), ('prec', 0.028242316883747186)]]

[34.625291254297821, 100, None, True, 'RF', [('hum_low', 0.098945141416235241), ('sea_low', 0.098622500663452115), ('sea_high', 0.096851319904415339), ('temp_high', 0.096524385051633743), ('temp_low', 0.091390358122372367), ('dew_high', 0.091238483992305316), ('dew_low', 0.090393074596597012), ('wind_low', 0.086828139846760063), ('hum_high', 0.080916707503812774), ('wind_high', 0.0805982490671176), ('DOW', 0.060335647126759352), ('prec', 0.027355992708539199)]]

[34.643119022566268, 250, None, False, 'RF', [('hum_low', 0.097765996037835007), ('temp_high', 0.09570876101738876), ('sea_high', 0.09547367494557521), ('sea_low', 0.093393914877016551), ('temp_low', 0.09116475802067775), ('dew_high', 0.090702911025087804), ('dew_low', 0.090630447944766102), ('wind_low', 0.088901971179181527), ('hum_high', 0.082772166334911093), ('wind_high', 0.081020883976353431), ('DOW', 0.066430705035694246), ('prec', 0.026033809605512583)]]

[34.666315283932974, 250, None, True, 'RF', [('hum_low', 0.10001633182136137), ('sea_high', 0.099376757565420484), ('sea_low', 0.09842018273695409), ('temp_high', 0.096543644536506629), ('dew_low', 0.092258303976859621), ('temp_low', 0.089833333431106846), ('dew_high', 0.08710093158931112), ('wind_low', 0.086844257562797345), ('hum_high', 0.082124532490643457), ('wind_high', 0.08064256837954055), ('DOW', 0.05925713849454816), ('prec', 0.027582017414950165)]]

[34.787810347076672, 75, None, False, 'RF', [('hum_low', 0.098776663016390973), ('sea_high', 0.097622640525329082), ('temp_high', 0.096374705478836184), ('sea_low', 0.094803509048723048), ('dew_low', 0.090375620493640577), ('temp_low', 0.089398142987425946), ('dew_high', 0.088982156908545468), ('wind_low', 0.08607078163796171), ('hum_high', 0.084899072663455533), ('wind_high', 0.077980256916949903), ('DOW', 0.069847076889053561), ('prec', 0.02486937343368795)]]

[35.408352929451588, 200, None, False, 'RF', [('hum_low', 0.097348833110105393), ('temp_high', 0.096250124744060722), ('sea_high', 0.095467597026855325), ('sea_low', 0.095448071647056848), ('temp_low', 0.090119713319301145), ('wind_low', 0.088522438421275926), ('dew_low', 0.087754498289409885), ('dew_high', 0.087362049059380456), ('hum_high', 0.084577960028095672), ('wind_high', 0.082486615426831153), ('DOW', 0.068187342615623009), ('prec', 0.026474756312004355)]]

[35.655882751908379, 400, None, False, 'RF', [('hum_low', 0.097489071482475834), ('sea_high', 0.097433602981554304), ('temp_high', 0.095979730376074671), ('sea_low', 0.095381224534984793), ('dew_low', 0.091059494888247827), ('dew_high', 0.090674556812436344), ('temp_low', 0.090378041603418002), ('wind_low', 0.085981547992320606), ('hum_high', 0.083482849267379144), ('wind_high', 0.080663759363085494), ('DOW', 0.067672132067750954), ('prec', 0.023803988630272443)]]

[36.172419169852077, 100, None, False, 'RF', [('hum_low', 0.097762838490207907), ('temp_high', 0.096010319676805456), ('sea_high', 0.095587075107300509), ('sea_low', 0.094623257300886152), ('dew_low', 0.091152642248825744), ('temp_low', 0.089855871895345107), ('dew_high', 0.089599366749742393), ('wind_low', 0.087211479652315085), ('hum_high', 0.083251131274140466), ('wind_high', 0.08181689667050579), ('DOW', 0.065956873270837671), ('prec', 0.027172247663087536)]]

