[33.355174640020081, 400, None, False, 'RF', [('hum_avg', 0.19235176854766325), ('temp_high', 0.18213309451730239), ('temp_low', 0.17656109336697245), ('wind_low', 0.1681540728612568), ('wind_avg', 0.13451703470228446), ('DOW', 0.10427594835121258), ('prec', 0.042006987653308264)]]

[33.376776797245292, 150, None, True, 'RF', [('hum_avg', 0.19218006753491559), ('temp_high', 0.18475721261937386), ('temp_low', 0.17747214202306719), ('wind_low', 0.16600087737599228), ('wind_avg', 0.13445705880470232), ('DOW', 0.10001230787585119), ('prec', 0.045120333766097677)]]

[33.481386849623476, 300, None, True, 'RF', [('hum_avg', 0.19069030144338947), ('temp_high', 0.18430987600437435), ('temp_low', 0.17796983263783803), ('wind_low', 0.16725095162127387), ('wind_avg', 0.13532850201393798), ('DOW', 0.10079307377425178), ('prec', 0.043657462504934734)]]

[33.550171779343259, 200, None, True, 'RF', [('hum_avg', 0.19264918665129527), ('temp_high', 0.18330944231065854), ('temp_low', 0.17826222488543766), ('wind_low', 0.1667877211684573), ('wind_avg', 0.13449905035608145), ('DOW', 0.097796237266398092), ('prec', 0.046696137361671636)]]

[33.639103023330435, 400, None, True, 'RF', [('hum_avg', 0.18982254346422545), ('temp_high', 0.18569944311107137), ('temp_low', 0.18049257902941029), ('wind_low', 0.16800833996700745), ('wind_avg', 0.13431941194349148), ('DOW', 0.098718559133670822), ('prec', 0.042939123351123244)]]

[33.699693596347309, 200, None, True, 'RF', [('hum_avg', 0.19350949866053913), ('temp_high', 0.1846694943478408), ('temp_low', 0.18081928339124989), ('wind_low', 0.1662265382113586), ('wind_avg', 0.13320855985273822), ('DOW', 0.098055027841203624), ('prec', 0.043511597695069841)]]

[33.818698283208633, 300, None, True, 'RF', [('hum_avg', 0.19086509620057909), ('temp_high', 0.18445650553238566), ('temp_low', 0.18151638982294985), ('wind_low', 0.16505817895275712), ('wind_avg', 0.13552550377456019), ('DOW', 0.096056453000950906), ('prec', 0.04652187271581705)]]

[33.834506831247886, 150, None, True, 'RF', [('hum_avg', 0.19276813918962443), ('temp_high', 0.18364070268439553), ('temp_low', 0.18116693154913086), ('wind_low', 0.16513660874621885), ('wind_avg', 0.13259041909643277), ('DOW', 0.098798138756421114), ('prec', 0.045899059977776373)]]

